Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,9.65625,9.65625,9.0,9.0,5.7315879999999995,134000
2000-01-04,8.875,9.28125,8.875,9.0,5.7315879999999995,68200
2000-01-05,9.0,9.25,9.0,9.15625,5.8310949999999995,70000
2000-01-06,9.09375,9.5,9.03125,9.46875,6.030111,78600
2000-01-07,9.4375,9.46875,9.25,9.3125,5.930601,71800
2000-01-10,9.34375,9.34375,9.1875,9.28125,5.910703,67000
2000-01-11,9.3125,9.34375,9.25,9.25,5.890801000000001,68200
2000-01-12,9.25,9.3125,9.21875,9.3125,5.930601,93000
2000-01-13,9.3125,9.5,9.25,9.4375,6.010208,94400
2000-01-14,9.5,9.5,9.25,9.25,5.890801000000001,118000
2000-01-18,9.1875,9.1875,8.9375,9.0625,5.771392,74000
2000-01-19,9.0625,9.21875,9.0,9.09375,5.791291999999999,106000
2000-01-20,9.125,9.3125,8.875,8.96875,5.711686,77400
2000-01-21,9.03125,9.1875,8.875,9.09375,5.791291999999999,111200
2000-01-24,9.28125,9.28125,8.9375,8.9375,5.691783999999999,120400
2000-01-25,8.96875,8.96875,8.5625,8.5625,5.452969,67200
2000-01-26,8.59375,8.875,8.5625,8.875,5.651984,91200
2000-01-27,8.9375,9.09375,8.9375,9.03125,5.75149,83000
2000-01-28,9.03125,9.15625,8.75,8.8125,5.61218,90800
2000-01-31,8.84375,9.1875,8.84375,9.03125,5.75149,114600
2000-02-01,9.0,9.0,8.65625,8.78125,5.592281,59000
2000-02-02,8.71875,8.9375,8.65625,8.8125,5.61218,122200
2000-02-03,8.8125,8.875,8.6875,8.8125,5.61218,61600
2000-02-04,8.78125,8.78125,8.5625,8.6875,5.532573999999999,101400
2000-02-07,8.5625,8.6875,8.5,8.6875,5.532573999999999,62200
2000-02-08,8.78125,8.84375,8.5,8.5625,5.452969,70800
2000-02-09,8.625,8.8125,8.3125,8.4375,5.373365,98800
2000-02-10,8.40625,8.5,8.21875,8.4375,5.373365,522200
2000-02-11,8.4375,8.53125,7.96875,8.0,5.094746,135000
2000-02-14,7.96875,8.25,7.90625,8.21875,5.234055000000001,56200
2000-02-15,8.3125,8.4375,8.15625,8.4375,5.373365,76200
2000-02-16,8.4375,8.53125,8.125,8.125,5.174352,86000
2000-02-17,8.21875,8.46875,8.1875,8.25,5.253955,82400
2000-02-18,8.28125,8.28125,7.9375,7.96875,5.074843,60400
2000-02-22,7.96875,8.0,7.8125,7.96875,5.074843,123800
2000-02-23,8.03125,8.09375,7.6875,7.875,5.01514,95600
2000-02-24,7.875,7.9375,7.65625,7.6875,4.89573,41400
2000-02-25,7.71875,7.75,7.625,7.65625,4.875829,63600
2000-02-28,7.625,7.78125,7.5,7.65625,4.875829,110800
2000-02-29,7.65625,8.09375,7.53125,7.53125,4.796224,194800
2000-03-01,7.5,7.53125,7.28125,7.28125,4.637013,123200
2000-03-02,7.28125,7.5,7.28125,7.46875,4.756421,156600
2000-03-03,7.4375,7.5625,7.4375,7.5,4.776322,65000
2000-03-06,7.5,8.0,7.5,7.78125,4.955435,179000
2000-03-07,7.84375,7.9531,7.5,7.5,4.776322,222600
2000-03-08,7.875,7.96875,7.875,7.875,5.01514,152400
2000-03-09,7.78125,7.90625,7.6875,7.71875,4.915630999999999,161200
2000-03-10,7.6875,8.0781,7.59375,8.0,5.094746,167600
2000-03-13,7.8125,8.0,7.65625,7.84375,5.064879,85600
2000-03-14,7.90625,7.9375,7.84375,7.90625,5.105237000000001,139200
2000-03-15,7.90625,8.65625,7.84375,8.625,5.56935,141200
2000-03-16,8.65625,9.28125,8.65625,9.28125,5.993106,368600
2000-03-17,9.125,9.5,9.125,9.46875,6.114178,267800
2000-03-20,9.46875,9.8125,9.46875,9.8125,6.336145,275800
2000-03-21,9.75,9.875,9.59375,9.875,6.3765019999999994,353400
2000-03-22,9.875,10.0,9.40625,9.40625,6.073821,338000
2000-03-23,9.3125,9.40625,9.0,9.34375,6.033462,399200
2000-03-24,9.25,9.5,9.0,9.4375,6.094,61600
2000-03-27,9.375,9.5,9.09375,9.4375,6.094,67800
2000-03-28,9.375,9.40625,8.8125,9.15625,5.912389,63800
2000-03-29,9.09375,9.09375,8.90625,8.96875,5.791316999999999,134400
2000-03-30,9.03125,9.5625,9.03125,9.5625,6.174715,83800
2000-03-31,9.65625,10.5625,9.5,10.375,6.699367,418200
2000-04-03,10.1875,10.1875,10.0,10.0,6.457219,172000
2000-04-04,10.0,10.1875,9.75,10.125,6.5379309999999995,154400
2000-04-05,10.15625,10.15625,9.65625,9.78125,6.315965,86200
2000-04-06,9.84375,10.0,9.8125,9.9375,6.416859,99400
2000-04-07,9.9375,10.21875,9.9375,10.15625,6.5581119999999995,40200
2000-04-10,10.09375,10.1875,9.90625,9.90625,6.39668,71400
2000-04-11,9.90625,10.1875,9.84375,10.0,6.457219,375200
2000-04-12,10.0625,10.125,9.96875,9.96875,6.4370400000000005,295600
2000-04-13,9.96875,10.0,9.65625,9.96875,6.4370400000000005,219400
2000-04-14,10.0,10.125,9.90625,9.9375,6.416859,218800
2000-04-17,9.90625,9.90625,9.65625,9.75,6.295789,81200
2000-04-18,9.75,9.75,9.375,9.46875,6.114178,173800
2000-04-19,9.53125,9.78125,9.53125,9.75,6.295789,159000
2000-04-20,9.71875,10.0,9.6875,9.96875,6.4370400000000005,502200
2000-04-24,9.875,10.3125,9.875,10.28125,6.638825,157200
2000-04-25,10.46875,11.0,10.34375,10.5625,6.82044,344200
2000-04-26,10.5625,10.625,10.0,10.15625,6.5581119999999995,147200
2000-04-27,10.15625,10.8125,10.09375,10.5,6.780079,178400
2000-04-28,10.4375,10.46875,10.125,10.46875,6.759899000000001,65600
2000-05-01,10.40625,10.75,10.40625,10.59375,6.840617,260200
2000-05-02,10.625,10.75,10.5625,10.65625,6.880971000000001,71400
2000-05-03,10.71875,11.125,10.71875,11.09375,7.163475999999999,355200
2000-05-04,11.0625,11.25,10.6875,10.75,6.941511,165200
2000-05-05,10.78125,11.25,10.625,10.84375,7.002049,237600
2000-05-08,10.875,11.0,10.78125,11.0,7.102942,86800
2000-05-09,10.9375,11.0,10.6875,11.0,7.102942,196200
2000-05-10,10.9375,10.9375,10.75,10.78125,6.9616880000000005,70400
2000-05-11,10.84375,11.0,10.8125,10.96875,7.082758999999999,182400
2000-05-12,10.90625,11.0,10.78125,10.9375,7.062582000000001,75800
2000-05-15,10.90625,10.96875,10.78125,10.96875,7.082758999999999,72600
2000-05-16,11.0,11.5625,10.90625,11.40625,7.365264,170600
2000-05-17,11.4375,11.4375,11.125,11.15625,7.203835000000001,82800
2000-05-18,11.25,11.46875,11.1875,11.4375,7.385441999999999,152000
2000-05-19,11.3125,11.4375,11.0,11.375,7.3450869999999995,100000
2000-05-22,11.4375,11.5625,11.40625,11.53125,7.445981,78000
2000-05-23,11.59375,11.75,11.5,11.625,7.506517,231400
2000-05-24,11.59375,11.78125,11.40625,11.71875,7.567048,114600
2000-05-25,11.75,11.84375,11.5625,11.6875,7.546874000000001,159800
2000-05-26,11.75,11.75,11.1875,11.21875,7.244191000000001,99800
2000-05-30,11.125,11.625,11.03125,11.46875,7.405622999999999,116400
2000-05-31,11.46875,11.5,11.0,11.0,7.102942,153600
2000-06-01,11.03125,11.03125,10.5,10.78125,6.9616880000000005,229600
2000-06-02,10.6875,11.46875,10.6875,11.34375,7.324908,133400
2000-06-05,11.28125,11.28125,10.84375,10.9375,7.062582000000001,44600
2000-06-06,10.96875,11.0,10.875,10.96875,7.082758999999999,36400
2000-06-07,10.96875,11.46875,10.9375,11.40625,7.365264,257800
2000-06-08,11.375,11.375,11.0,11.03125,7.123117,35200
2000-06-09,11.09375,11.15625,11.03125,11.0625,7.143298,21800
2000-06-12,11.0625,11.5,11.0625,11.3125,7.304725,70000
2000-06-13,11.21875,11.5,11.15625,11.1875,7.294946,143400
2000-06-14,11.0,11.21875,10.8125,10.9375,7.131931,140400
2000-06-15,11.0,11.0,10.6875,10.875,7.091178,138000
2000-06-16,10.84375,10.875,10.6875,10.84375,7.070803,203800
2000-06-19,10.875,10.875,10.625,10.8125,7.0504240000000005,45000
2000-06-20,10.8125,10.8125,10.5,10.59375,6.907786,155000
2000-06-21,10.6875,10.6875,10.46875,10.5,6.846655,272200
2000-06-22,10.4375,10.4375,10.1875,10.1875,6.642884,202200
2000-06-23,10.1875,10.21875,10.03125,10.15625,6.622509,229400
2000-06-26,10.25,10.25,10.15625,10.25,6.683639,33600
2000-06-27,10.1875,10.21875,10.09375,10.125,6.602127,141200
2000-06-28,10.1875,10.875,10.1875,10.875,7.091178,239200
2000-06-29,10.875,11.3125,10.71875,11.03125,7.193061,200600
2000-06-30,11.0625,11.25,9.875,9.875,6.439114,633600
2000-07-03,10.0,10.8125,10.0,10.78125,7.030048,95200
2000-07-05,10.78125,11.0625,10.75,10.9375,7.131931,219600
2000-07-06,10.96875,11.0625,10.6875,10.75,7.009672,113600
2000-07-07,10.75,11.1875,10.75,11.15625,7.274571000000001,205000
2000-07-10,11.15625,11.34375,11.0625,11.21875,7.315322999999999,124400
2000-07-11,11.15625,11.40625,10.9375,11.03125,7.193061,99000
2000-07-12,11.09375,11.4375,11.03125,11.34375,7.396833,45400
2000-07-13,11.3125,11.34375,11.0,11.1875,7.294946,165600
2000-07-14,11.1875,11.1875,11.125,11.125,7.254196,50000
2000-07-17,11.125,11.59375,11.125,11.15625,7.274571000000001,109400
2000-07-18,11.28125,11.28125,11.09375,11.09375,7.233817999999999,101200
2000-07-19,11.15625,11.1875,11.09375,11.09375,7.233817999999999,111600
2000-07-20,11.15625,11.21875,11.09375,11.15625,7.274571000000001,205000
2000-07-21,11.1875,11.84375,11.15625,11.8125,7.702486,244400
2000-07-24,11.75,11.75,11.1875,11.28125,7.356076,98000
2000-07-25,11.3125,12.0,11.21875,11.90625,7.763615,178200
2000-07-26,11.9375,11.9375,11.625,11.75,7.661735,231800
