Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,30.5,30.625,29.0,29.3125,26.171173,433900
2000-01-04,29.0,30.125,28.75,29.0,25.892162,522300
2000-01-05,29.0,29.875,28.5625,29.875,26.673393,674000
2000-01-06,29.4375,29.875,28.75,29.5625,26.394385999999997,911700
2000-01-07,29.75,31.25,29.5,31.1875,27.845234,606000
2000-01-10,32.0,34.125,32.0,33.9375,30.300521999999997,1012300
2000-01-11,33.9375,37.5625,33.8125,36.5,32.588409000000006,2893100
2000-01-12,36.8125,38.25,36.625,38.0,33.927665999999995,1479400
2000-01-13,38.25,38.9375,37.0,37.0,33.034821,1507000
2000-01-14,37.75,38.5,37.5,38.125,34.039257,609200
2000-01-18,39.5,40.0,38.125,38.4375,34.318279,2728900
2000-01-19,39.0,39.375,38.5,39.0,34.820492,469400
2000-01-20,39.5,41.3125,39.5,40.5,36.159748,1205200
2000-01-21,41.4375,43.25,41.3125,43.125,38.503422,2353300
2000-01-24,43.125,44.625,41.8125,42.0,37.498993,2161100
2000-01-25,42.75,42.75,40.75,41.3125,36.885178,788000
2000-01-26,41.3125,42.25,39.5,39.75,35.490120000000005,578600
2000-01-27,39.75,40.4375,38.125,38.375,34.262482,975700
2000-01-28,38.75,39.375,37.25,37.8125,33.760258,601300
2000-01-31,37.75,37.8125,35.6875,35.875,32.030392,617700
2000-02-01,36.0,38.875,34.3125,38.75,34.597286,1191800
2000-02-02,39.0,39.75,38.4375,39.25,35.043701,1714200
2000-02-03,39.5,40.375,38.5,40.0,35.713318,433200
2000-02-04,40.25,42.0,39.8125,40.4375,36.103939000000004,754100
2000-02-07,39.25,39.3125,38.0,38.625,34.48568,2011700
2000-02-08,38.75,42.125,38.75,42.0,37.498993,2194900
2000-02-09,42.5,42.5,41.2187,41.875,37.38739,1885100
2000-02-10,41.875,44.75,41.75,43.9375,39.228867,2589300
2000-02-11,44.5,45.0,44.0625,44.25,39.507877,1212700
2000-02-14,44.4375,44.875,43.8125,44.875,40.065891,1778700
2000-02-15,45.0,47.25,45.0,45.625,40.735504,1119500
2000-02-16,45.875,46.75,45.0,46.0,41.07032,479400
2000-02-17,45.875,46.125,43.75,45.0,40.177486,1402200
2000-02-18,44.25,44.75,42.375,42.75,38.168606,749700
2000-02-22,43.25,43.3125,40.125,41.0,36.606171,710700
2000-02-23,41.75,43.625,41.5625,43.3125,38.670840999999996,992100
2000-02-24,43.5625,45.625,42.625,43.0,38.391819,764300
